@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
91,'2023/11/20 23:29:36:877',1,16.903254,1.337198,0,0
92,'2023/11/20 23:29:36:910',1,16.869621,1.546476,0,0
93,'2023/11/20 23:29:36:960',1,16.805342,1.303934,0,0
94,'2023/11/20 23:29:36:994',1,16.752377,1.588695,0,0
95,'2023/11/20 23:29:37:027',1,16.783943,1.303543,0,0
96,'2023/11/20 23:29:37:061',1,16.787556,1.612793,0,0
97,'2023/11/20 23:29:37:077',1,16.795109,1.289447,0,0
98,'2023/11/20 23:29:37:111',1,16.815969,1.633368,0,0
99,'2023/11/20 23:29:37:144',1,16.839787,1.311095,0,0
100,'2023/11/20 23:29:37:177',1,16.755199,1.673307,0,0
101,'2023/11/20 23:29:37:227',1,16.743307,1.281624,0,0
102,'2023/11/20 23:29:37:261',1,16.711288,1.669319,0,0
103,'2023/11/20 23:29:37:277',1,16.619337,1.241571,0,0
104,'2023/11/20 23:29:37:311',1,16.591908,1.621243,0,0
105,'2023/11/20 23:29:37:345',1,16.656139,1.230039,0,0
106,'2023/11/20 23:29:37:379',1,16.558613,1.638997,0,0
107,'2023/11/20 23:29:37:411',1,16.690941,1.224808,0,0
108,'2023/11/20 23:29:37:478',1,16.784473,1.622717,0,0
109,'2023/11/20 23:29:37:511',1,16.71837,1.202978,0,0
110,'2023/11/20 23:29:37:544',1,16.70499,1.487178,0,0
111,'2023/11/20 23:29:37:578',1,16.668493,1.207076,0,0
112,'2023/11/20 23:29:37:611',1,16.609173,1.526391,0,0
113,'2023/11/20 23:29:37:644',1,16.559954,1.208108,0,0
114,'2023/11/20 23:29:37:678',1,16.59683,1.569989,0,0
115,'2023/11/20 23:29:37:712',1,16.5422,1.217038,0,0
116,'2023/11/20 23:29:37:748',1,16.527283,1.551285,0,0
117,'2023/11/20 23:29:37:780',1,16.495031,1.207887,0,0
118,'2023/11/20 23:29:37:812',1,16.434507,1.585102,0,0
119,'2023/11/20 23:29:37:844',1,16.410078,1.193792,0,0
120,'2023/11/20 23:29:37:878',1,16.321095,1.523571,0,0
121,'2023/11/20 23:29:37:911',1,16.342342,1.176379,0,0
122,'2023/11/20 23:29:37:946',1,16.325323,1.530341,0,0
123,'2023/11/20 23:29:37:978',1,16.295094,1.142418,0,0
124,'2023/11/20 23:29:37:994',1,16.320032,1.523323,0,0
125,'2023/11/20 23:29:38:044',1,16.296045,1.162356,0,0
126,'2023/11/20 23:29:38:078',1,16.300615,1.518469,0,0
127,'2023/11/20 23:29:38:111',1,16.315359,1.174914,0,0
128,'2023/11/20 23:29:38:144',1,16.302074,1.524686,0,0
129,'2023/11/20 23:29:38:178',1,16.343334,1.173826,0,0
130,'2023/11/20 23:29:38:211',1,16.272928,1.532792,0,0
131,'2023/11/20 23:29:38:228',1,16.240383,1.167379,0,0
132,'2023/11/20 23:29:38:261',1,16.237331,1.515419,0,0
133,'2023/11/20 23:29:38:312',1,16.221798,1.164254,0,0
134,'2023/11/20 23:29:38:346',1,16.18726,1.566937,0,0
135,'2023/11/20 23:29:38:378',1,16.172628,1.177222,0,0
136,'2023/11/20 23:29:38:412',1,16.046535,1.541606,0,0
137,'2023/11/20 23:29:38:447',1,16.126009,1.160836,0,0
138,'2023/11/20 23:29:38:465',1,16.240385,1.557056,0,0
139,'2023/11/20 23:29:38:496',1,16.209312,1.211851,0,0
140,'2023/11/20 23:29:38:528',1,16.098776,1.527467,0,0
141,'2023/11/20 23:29:38:562',1,16.093275,1.206198,0,0
142,'2023/11/20 23:29:38:595',1,16.076893,1.501282,0,0
143,'2023/11/20 23:29:38:646',1,16.01219,1.231389,0,0
144,'2023/11/20 23:29:38:679',1,15.952128,1.480564,0,0
145,'2023/11/20 23:29:38:714',1,15.930298,1.22439,0,0
146,'2023/11/20 23:29:38:729',1,15.940526,1.446676,0,0
147,'2023/11/20 23:29:38:763',1,15.958181,1.231541,0,0
148,'2023/11/20 23:29:38:800',1,15.968228,1.456408,0,0
149,'2023/11/20 23:29:38:831',1,15.981224,1.219113,0,0
150,'2023/11/20 23:29:38:863',1,15.972729,1.484407,0,0
151,'2023/11/20 23:29:38:897',1,15.948217,1.252045,0,0
152,'2023/11/20 23:29:38:929',1,15.928463,1.442245,0,0
153,'2023/11/20 23:29:38:962',1,15.923534,1.228906,0,0
154,'2023/11/20 23:29:38:998',1,15.978125,1.476689,0,0
155,'2023/11/20 23:29:39:029',1,15.938059,1.24853,0,0
